station_ID,hours,PM2.5,PM10,CO,NO2,SO2,O3,pressure,humidity,temperature,wind_direction,wind_speed
CEG22050053,2021-05-26 00:00:00,5.774,15.343,0.492,24.371,14.533,42.225,100.887,65.126,31.614,215.326,1.016
CEG22050053,2021-05-26 01:00:00,6.0,15.176,0.482,24.371,14.406,42.256,100.852,65.67,31.46,210.799,0.974
CEG22050053,2021-05-26 02:00:00,5.387,14.349,0.485,24.371,14.707,40.33,100.808,66.06,31.322,216.278,0.68
CEG22050053,2021-05-26 03:00:00,4.617,12.361,0.459,24.371,16.808,42.31,100.766,69.108,30.686,221.729,0.799
CEG22050053,2021-05-26 04:00:00,4.624,12.764,0.481,24.371,17.041,40.589,100.759,71.358,30.154,235.505,0.719
CEG22050053,2021-05-26 05:00:00,4.763,12.756,0.449,24.371,14.702,38.895,100.784,70.083,30.335,180.942,0.729
CEG22050053,2021-05-26 06:00:00,5.315,14.746,0.447,24.371,14.032,44.193,100.802,69.417,30.468,201.241,0.945
CEG22050053,2021-05-26 07:00:00,6.067,16.131,0.497,24.371,12.834,48.439,100.868,66.891,31.353,212.532,0.884
CEG22050053,2021-05-26 08:00:00,7.17,19.672,0.418,15.15,6.335,54.086,100.938,55.373,34.556,213.785,1.179
CEG22050053,2021-05-26 09:00:00,7.558,19.339,0.354,13.763,6.134,60.053,100.979,48.235,36.637,237.462,1.072
CEG22050053,2021-05-26 10:00:00,7.577,19.072,0.3825,13.217,4.858,64.82,100.97,42.075,38.408,212.222,1.221
CEG22050053,2021-05-26 11:00:00,7.85,19.084,0.41100000000000003,17.051,15.101,74.928,100.945,38.662,39.612,231.244,1.666
CEG22050053,2021-05-26 12:00:00,6.195,15.7,0.4395,17.751,15.774,69.571,100.89,36.863,39.404,208.322,1.748
CEG22050053,2021-05-26 13:00:00,5.641,14.854,0.468,23.241,12.1525,73.105,100.838,48.354,35.221,223.921,1.17
CEG22050053,2021-05-26 14:00:00,5.436,14.95,0.537,18.184,8.531,60.623,100.744,44.968,35.884,196.371,1.152
CEG22050053,2021-05-26 15:00:00,5.954,15.379,0.417,14.225,6.773,68.163,100.648,39.339,37.573,184.834,1.415
CEG22050053,2021-05-26 16:00:00,6.63,16.985,0.474,17.916,15.683,70.986,100.598,42.59,36.787,224.624,1.471
CEG22050053,2021-05-26 17:00:00,7.247,18.192,0.46,18.266,12.917,67.284,100.625,43.091,36.193,217.542,1.714
CEG22050053,2021-05-26 18:00:00,8.971,21.349,0.491,21.347,15.378,63.686,100.649,45.206,35.554,208.532,1.302
CEG22050053,2021-05-26 19:00:00,9.687,21.683,0.587,23.52,15.813,56.118,100.679,49.362,34.587,193.937,1.491
CEG22050053,2021-05-26 20:00:00,8.984,19.896,0.545,23.13,14.438,53.921,100.76,52.454,33.506,199.136,1.379
CEG22050053,2021-05-26 21:00:00,6.583,16.25,0.512,23.189,14.026,54.287,100.846,55.269,32.631,254.264,1.381
CEG22050053,2021-05-26 22:00:00,6.484,16.101,0.539,24.022,14.368,52.08,100.928,58.256,32.188,217.586,1.014
CEG22050053,2021-05-26 23:00:00,6.243,16.198,0.518,24.217,14.237,51.925,100.971,61.249,31.755,237.598,1.234
CEG22050053,2021-05-27 00:00:00,6.595,16.563,0.525,24.538,14.211,50.841,100.932,63.706,31.429,227.589,0.966
CEG22050053,2021-05-27 01:00:00,5.876,15.452,0.516,24.125,13.78,49.371,100.887,65.115,31.14,218.728,1.141
